,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,beta-Caryophyllene,Myrcene,Terpinolene,beta-Phellandrene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Fenchyl acetate,beta-Bisabolene,alpha-Copaene,Carvacrol,Aromadendrene,"1,8-Cineole",Caryophyllene oxide,trans-Carveol,Eugenol,Germacrene D,Nerolidol (unknown isomer),Menthol,Isocaryophyllene,gamma-Elemene,beta-Elemene,Methyl chavicol,(E)-Anethole,(E)-beta-Ocimene,Anisaldehyde,(Z)-beta-Ocimene,Fenchone,alpha-Farnesene,Carvone,Elemol,Foeniculin,p-Methoxyphenylacetone,(Z)-Anethole,(E)-beta-Farnesene,Sesquiterpene hydrocarbons,2-(1-E-Propenyl)-5-methoxyphenyl 2-methylbutyrate,Anisalcohol,Isochavibetol,4-Methoxyacetophenone,Safrole,Anisic acid,Linalyl acetate,Isoborneol,gamma-Himachalene,Farnesol (unknown isomer),Sesquiterpene alcohols (unknown),ar-Curcumene,"cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",Sesquiterpene hydrocarbons (unknown),Menthone,Myristicin,Methyl isoeugenol,alpha-Zingiberene,Monoterpene hydrocarbons (unknown),Geijerene,Pregeijerene,"2-(1,2-Epoxypropane)-5-methoxyphenyl 2-methylbutyrate",beta-Bergamotene,(E)-Cinnamyl aldehyde,o-Methoxy-3-phenylpropanol,Anisyl propionate,Anisyl butyrate,4-Isopropyltropolone,trans-Isoosmorhizol,Ionol
"Anise seed 4 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.8822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0009
"Backhousia anisata leaf 1 - Backhousia anisata Vickery (Chemotype 1), fam. Myrtaceae",0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.9457,0.0,0.0001,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clausena heptaphylla leaf (India) 1b - Clausena heptaphylla W&A, fam. Rutaceae",0.0,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.982,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fennel, bitter (Italy) 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.04,0.0002,0.004,0.0005,0.0005,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0005,0.0001,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.85,0.0,0.0005,0.0001,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fennel, bitter (Uzbekistan) - Foeniculum vulgare Miller, fam. Apiaceae (Umbelliferae)",0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.8733,0.0,0.0,0.0,0.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fennel, sweet (Italy) 1 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)",0.035,0.0002,0.002,0.0002,0.001,0.0,0.0,0.0005,0.0,0.0,0.0,0.0005,0.0015,0.0,0.0,0.0002,0.0002,0.0,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0025,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.885,0.0,0.01,0.0025,0.015,0.0,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fennel, sweet (Italy) 2 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)",0.047,0.0001,0.0025,0.0001,0.0012,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.8708,0.0001,0.0,0.0001,0.0212,0.0,0.0,0.0,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Scandix australis - Scandix australis L., fam. Apiaceae (Umbelliferae)",0.0001,0.0005,0.0012,0.0,0.0,0.003,0.0071,0.0001,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0042,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0847,0.86,0.0005,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0
"Star anise (China) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)",0.0068,0.0005,0.0062,0.0,0.0011,0.0,0.0046,0.0008,0.0,0.0042,0.0024,0.0,0.0,0.002,0.0234,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665,0.8606,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Star anise (China, Shangyou) 4 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)",0.0238,0.0003,0.0049,0.0003,0.0029,0.0004,0.0035,0.0041,0.0,0.0003,0.0058,0.0,0.0003,0.0028,0.0073,0.0039,0.0003,0.003,0.0002,0.0,0.0022,0.001,0.0,0.0016,0.002,0.0,0.0,0.0,0.0,0.0012,0.0,0.0031,0.005,0.0004,0.0057,0.8789,0.0,0.0026,0.0,0.0,0.0,0.0,0.0005,0.0089,0.0006,0.002,0.0042,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0005,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0019,0.0,0.0
