,"Callistemon citrinus flower (Pakistan) - Callistemon citrinus (Curtis) Sheels (C. lanceolatus DC.), fam. Myrtaceae","Leptospermum scoparium var. rotundifolium - Leptospermum scoparium Forst var. rotundifolium, fam. Myrtaceae","Myrtle berry (Albania) - Myrtus communis L., fam. Myrtaceae","Myrtle berry (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle berry (Italy) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Albania) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle green fruits (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Albania) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Albania) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (France) 3 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Iran) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Lebanon) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 3 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 4 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco), var. baetica - Myrtus communis L. var. baetica, fam. Myrtaceae","Myrtle leaf (Morocco), var. italica - Myrtus communis L. var. italica, fam. Myrtaceae","Myrtle leaf (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Turkey) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Yugoslavia) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Yugoslavia) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf, cultivated (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf, wildgrowing (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle mature fruits (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle unripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae"
"Myrtle leaf (Albania) 1 - Myrtus communis L., fam. Myrtaceae",0.38628662819833626,0.427164044353439,0.866808285217709,0.6168464696685871,0.47296862636451376,0.7996514700828897,0.4833154644002795,0.5387113950850329,0.7111494895195662,0.6242837517241193,1.0,0.8691569003972153,0.7034184866603996,0.6390072995113606,0.4829918398833365,0.534011454771668,0.682732330786957,0.7185887397609219,0.6715817794397345,0.6457095332243303,0.5973155112461321,0.7833748099388377,0.4279965953617121,0.6017705241454339,0.8612390710780734,0.7782085672606947,0.5136113976347682,0.42859413706388283,0.6179933356759608,0.5631337551044076
"Myrtle leaf (Albania) 2 - Myrtus communis L., fam. Myrtaceae",0.40227380808674873,0.4530441797138717,0.8833186849293948,0.5620262729041179,0.49973601983845395,0.8120131967033026,0.4417856449303579,0.6260147051919109,0.6434935832033882,0.705314118405898,0.869156900397215,1.0,0.646570708568138,0.5716137569328227,0.527195760137628,0.5767293547960259,0.6078250402024081,0.7759271604696879,0.6008183093632284,0.5607183931911008,0.5401488277297412,0.681826571991337,0.3233621608516818,0.6257710715820886,0.8218025570545093,0.7648038351990372,0.43788059153161163,0.3231444784206262,0.5526384243404776,0.47403312904194594
"Myrtle leaf (Croatia) - Myrtus communis L., fam. Myrtaceae",0.20823191119453188,0.22959112140913773,0.673002897418688,0.7755280030534665,0.22981431755684034,0.7332001181734287,0.6536399600667187,0.331840050033432,0.6276457228132445,0.5211663599102154,0.7034184866603996,0.646570708568138,1.0,0.5759666869876046,0.2356956649399461,0.2537661339859333,0.4749587416561568,0.5334367495256956,0.4576957074302076,0.46861173234481357,0.785529393258028,0.6779524777782897,0.506914794351095,0.7088255244509197,0.5840398225603904,0.6671936048929757,0.7064732598336765,0.5076370844047553,0.7212221920343462,0.5824033807816675
"Myrtle leaf (France) 3 - Myrtus communis L., fam. Myrtaceae",0.44076045576639156,0.4051054128512851,0.5225060317795865,0.4977569394437943,0.44515227056958306,0.48535469503763273,0.32244189928521805,0.3306013291026353,0.4672213378968999,0.3896465638301685,0.6390072995113606,0.5716137569328226,0.5759666869876046,1.0,0.4170862185881047,0.3810155249774744,0.5827753233402253,0.5047778328105077,0.6545872398784374,0.6858281743982464,0.5487640990791782,0.6630721806197174,0.42991485812086727,0.4507367036937181,0.5932221841362608,0.6839874936561892,0.3855171016903567,0.4307554041522419,0.5569545614505793,0.399593104987092
"Myrtle leaf (Iran) - Myrtus communis L., fam. Myrtaceae",0.5940053741468685,0.6298173190491722,0.45302308091876886,0.1690403347465591,0.7820385109584551,0.3647598405449506,0.030208062067582087,0.6631708957334703,0.3035329075694121,0.40811141240990867,0.4829918398833365,0.527195760137628,0.2356956649399461,0.4170862185881047,1.0,0.7779599070278309,0.45247488365223454,0.598153386450448,0.5211636055272539,0.4441337525525415,0.14353992671075944,0.409719751602461,0.002113430935203775,0.2316169943086327,0.5663759440345106,0.5067899074396996,0.0170234819468148,0.002336797657156775,0.19614705083458928,0.1350474502083725
"Myrtle leaf (Lebanon) - Myrtus communis L., fam. Myrtaceae",0.4594212349432911,0.5250771372331658,0.5273795552307343,0.18492679588512406,0.6922297582903031,0.42620733447663683,0.056284906963187886,0.6565798068298707,0.36247041613609254,0.4602703800554946,0.534011454771668,0.5767293547960258,0.2537661339859333,0.3810155249774744,0.7779599070278309,1.0,0.5271363372175237,0.608844220701064,0.5630746192407208,0.48361005596187834,0.16142422054429773,0.4296831002580779,0.04792378029736777,0.24581494662915537,0.6333993805944407,0.4761218222941097,0.059223902497095526,0.048225102297775546,0.22279491424826725,0.19399634069844485
"Myrtle leaf (Morocco) 1 - Myrtus communis L., fam. Myrtaceae",0.3824535424591149,0.4011235839910188,0.6113674733975134,0.43908435394550627,0.4836154833848215,0.5243750569459976,0.30254513398450766,0.3836761070261795,0.6474424044097522,0.3752956136745894,0.682732330786957,0.6078250402024081,0.4749587416561568,0.5827753233402253,0.45247488365223454,0.5271363372175237,1.0,0.5263995753647539,0.8359438879350369,0.802158588455187,0.4377465338164137,0.7385575436755638,0.48071011865413393,0.31182059479674407,0.7257696895883369,0.565421563231959,0.3803841586477017,0.47886482744272374,0.4867505738375729,0.5747399814259582
"Myrtle leaf (Morocco) 2 - Myrtus communis L., fam. Myrtaceae",0.4215954261807905,0.5003721728889041,0.7389035137244965,0.46418186837793085,0.5476368171919297,0.6763359492235994,0.34981812636125265,0.7355644408179074,0.5461283917916625,0.6790971859758679,0.7185887397609219,0.775927160469688,0.5334367495256956,0.5047778328105077,0.598153386450448,0.608844220701064,0.5263995753647539,1.0,0.5301538810940107,0.48072853256652204,0.42117516159812896,0.60306954623333,0.19639773870892818,0.5359561493878771,0.7435014165699904,0.6932625706560612,0.3167606475871657,0.196759212683292,0.4331309438899079,0.3630838026975268
"Myrtle leaf (Morocco) 3 - Myrtus communis L., fam. Myrtaceae",0.47375777220211357,0.46478997435062186,0.5759668536139086,0.4134224375815656,0.5614840803785948,0.4895709009376076,0.2561582010193213,0.4058466770915585,0.5734328735020028,0.39238551652958953,0.6715817794397345,0.6008183093632284,0.4576957074302076,0.6545872398784374,0.5211636055272539,0.5630746192407208,0.8359438879350369,0.5301538810940107,1.0,0.8585909446203316,0.42349937518829817,0.7241805648287081,0.4362495630465465,0.31950471235999156,0.706937717940813,0.5897643791718059,0.3194611402186923,0.4369598403227297,0.4888886089309713,0.486247847936207
"Myrtle leaf (Morocco) 4 - Myrtus communis L., fam. Myrtaceae",0.4191611512604816,0.41939820111273574,0.5402294998655728,0.43422597503438953,0.4982207380425543,0.4668721412209459,0.2728770723957119,0.33698042133798056,0.5609081209187963,0.3535845164268291,0.6457095332243303,0.5607183931911007,0.46861173234481357,0.6858281743982464,0.4441337525525415,0.48361005596187834,0.802158588455187,0.48072853256652204,0.8585909446203316,1.0,0.45920518303049906,0.712321009025558,0.4854410112338753,0.3183920222858748,0.6698967703395257,0.5798042931576819,0.3521122433787879,0.48541423610334355,0.5147008439637906,0.4953359198525614
"Myrtle leaf (Morocco), var. baetica - Myrtus communis L. var. baetica, fam. Myrtaceae",0.17609040544798105,0.1885498970165025,0.5518369785663914,0.8064263721951155,0.1734070430065039,0.5938982440458112,0.6705721847783609,0.22663376295016557,0.5963036754416077,0.44650586292443206,0.5973155112461321,0.5401488277297412,0.785529393258028,0.5487640990791782,0.14353992671075944,0.16142422054429773,0.4377465338164137,0.42117516159812896,0.42349937518829817,0.45920518303049906,1.0,0.6260395181363045,0.5864374587365446,0.6249311539158569,0.48717530006724874,0.5743769973937545,0.7223977873024561,0.5871950529175471,0.7719602091322371,0.5792135559003813
"Myrtle leaf (Morocco), var. italica - Myrtus communis L. var. italica, fam. Myrtaceae",0.3828678168550146,0.40091475750636807,0.6907318566912215,0.6388744922954506,0.42885732768873697,0.6522894381967388,0.49217718356997486,0.42096361841747243,0.7637171619728562,0.4695270416091579,0.7833748099388377,0.681826571991337,0.6779524777782897,0.6630721806197174,0.409719751602461,0.4296831002580779,0.7385575436755638,0.60306954623333,0.7241805648287081,0.712321009025558,0.6260395181363045,1.0,0.5595404083949167,0.4801987811241809,0.7464548229932,0.7083729192721576,0.5518481196501364,0.5603266486518246,0.6534717065504791,0.6749515558229526
"Myrtle leaf (Spain) - Myrtus communis L., fam. Myrtaceae",0.053619488179295405,0.03671345153758998,0.36130798370879746,0.5270652188454394,0.05139889584939117,0.36096009013769015,0.4445800386886406,0.0,0.5273254904316874,0.15472972407793573,0.4279965953617121,0.3233621608516818,0.506914794351095,0.42991485812086727,0.002113430935203775,0.04792378029736777,0.48071011865413393,0.19639773870892818,0.4362495630465465,0.4854410112338753,0.5864374587365446,0.5595404083949167,1.0,0.2704923958693779,0.35860847307245536,0.3422157371544793,0.6144402368536299,0.9707133872074634,0.5713013774960212,0.6804176559607089
"Myrtle leaf (Turkey) 2 - Myrtus communis L., fam. Myrtaceae",0.19284305024782722,0.22099000791704648,0.619078297208908,0.6166706499448605,0.21296820727367494,0.687424397894951,0.5423699972357818,0.38078000886040597,0.4576124171332847,0.6656808608142651,0.6017705241454339,0.6257710715820886,0.7088255244509197,0.4507367036937182,0.2316169943086327,0.24581494662915537,0.31182059479674407,0.5359561493878771,0.31950471235999156,0.3183920222858748,0.6249311539158569,0.4801987811241809,0.2704923958693779,1.0,0.4942991337213509,0.597498557809687,0.4971149621813393,0.2706574199724995,0.5669250222775446,0.34843908478869556
"Myrtle leaf (Yugoslavia) 1 - Myrtus communis L., fam. Myrtaceae",0.421742560398107,0.4849015208357017,0.8082993860313206,0.5174775362181687,0.551603920140638,0.7169064661601112,0.38783346920669315,0.5966900136351599,0.6813257660762092,0.5809971471051781,0.8612390710780734,0.8218025570545091,0.5840398225603904,0.5932221841362608,0.5663759440345106,0.6333993805944407,0.7257696895883369,0.7435014165699904,0.706937717940813,0.6698967703395257,0.48717530006724874,0.7464548229932,0.35860847307245536,0.4942991337213509,1.0,0.7404595525090534,0.4161266197033844,0.3589365004862959,0.5273063574590011,0.5183484497466302
"Myrtle leaf (Yugoslavia) 2 - Myrtus communis L., fam. Myrtaceae",0.46554179272692187,0.5028684994169792,0.7019354704356147,0.5977736644416403,0.5022340767566167,0.6835789730785485,0.4514242652182091,0.5475027730493456,0.6011599472230409,0.5702907818867754,0.7782085672606947,0.7648038351990372,0.6671936048929757,0.6839874936561892,0.5067899074396996,0.4761218222941097,0.565421563231959,0.6932625706560612,0.5897643791718059,0.5798042931576819,0.5743769973937545,0.7083729192721576,0.3422157371544793,0.597498557809687,0.7404595525090534,1.0,0.449488679092764,0.3427562863452259,0.5777212815331161,0.4557575501231832
"Myrtle leaf, cultivated (Spain) - Myrtus communis L., fam. Myrtaceae",0.021415210803124363,0.052931115942235096,0.49493007086850305,0.7338675156623006,0.03445000152174682,0.5535108257748549,0.7344961381746197,0.11875932920736154,0.6099837391183495,0.3107565627233847,0.5136113976347682,0.43788059153161163,0.7064732598336765,0.3855171016903567,0.0170234819468148,0.059223902497095526,0.3803841586477017,0.3167606475871657,0.3194611402186923,0.3521122433787879,0.7223977873024561,0.5518481196501364,0.6144402368536299,0.4971149621813393,0.4161266197033844,0.449488679092764,1.0,0.6153650034809894,0.637708720131483,0.6863293361906493
"Myrtle leaf, wildgrowing (Spain) - Myrtus communis L., fam. Myrtaceae",0.05109395993110721,0.036864584612035456,0.36182506833154704,0.5278293051206904,0.051731423458584724,0.3615713246995732,0.445355332375884,0.0001227354232725686,0.5279343134055563,0.15504605525516857,0.42859413706388283,0.3231444784206261,0.5076370844047553,0.4307554041522419,0.002336797657156775,0.048225102297775546,0.47886482744272374,0.196759212683292,0.4369598403227297,0.48541423610334355,0.5871950529175471,0.5603266486518246,0.9707133872074634,0.2706574199724995,0.3589365004862959,0.3427562863452259,0.6153650034809894,1.0,0.5717175124453183,0.6815661966250179
"Myrtle mature fruits (Morocco) - Myrtus communis L., fam. Myrtaceae",0.22013262246047338,0.22648303289098648,0.5621910143309796,0.732062914566945,0.22428631662675536,0.5887931727599136,0.5680263084405202,0.2598978247334548,0.6023723247355837,0.45071740861717124,0.6179933356759608,0.5526384243404776,0.7212221920343462,0.5569545614505793,0.19614705083458928,0.22279491424826725,0.4867505738375729,0.4331309438899079,0.4888886089309713,0.5147008439637906,0.7719602091322371,0.6534717065504791,0.5713013774960212,0.5669250222775446,0.5273063574590011,0.5777212815331161,0.637708720131483,0.5717175124453183,1.0,0.5893206662896303
"Myrtle unripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae",0.12278600303810139,0.15508956667414253,0.5364787953427191,0.6122575766696181,0.15990752264696217,0.5357822508565446,0.558085306725519,0.18813434773505577,0.7618850459135396,0.2855457198681023,0.5631337551044076,0.47403312904194583,0.5824033807816675,0.399593104987092,0.1350474502083725,0.19399634069844485,0.5747399814259582,0.3630838026975268,0.486247847936207,0.4953359198525614,0.5792135559003813,0.6749515558229526,0.6804176559607089,0.34843908478869556,0.5183484497466302,0.4557575501231832,0.6863293361906493,0.6815661966250179,0.5893206662896303,1.0
