Plant_Species,bing_search_results,Response
"Abies fragesii - Abies fragesii Franch, fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Antifungal Properties of Essential Oils and Their Compounds for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922942/""}, {""title"": ""Antimicrobial, Antioxidant, and Immunomodulatory Properties of ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893664/""}, {""title"": ""Analgesic Potential of Essential Oils - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6273222/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Therapeutic Effect and Mechanisms of Essential Oils in Mood Disorders ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8125361/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}]",
"Abies holophylla (China) 1 - Abies holophylla Maxim., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Cytostatic effects of plant essential oils on human skin and lung cells"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7027107/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""In Vitro Antiviral Evaluations of Coldmix\u00ae: An Essential Oil Blend ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9857070/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Streptococcosis a Re-Emerging Disease in Aquaculture: Significance and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495100/""}, {""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}]",
"Abies holophylla (China) 2 - Abies holophylla Maxim., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Cytostatic effects of plant essential oils on human skin and lung cells"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7027107/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Essential Oils and Antifungal Activity - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748643/""}, {""title"": ""In Vitro Antiviral Evaluations of Coldmix\u00ae: An Essential Oil Blend ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9857070/""}, {""title"": ""Development of Native Essential Oils from Forestry Resources in South ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9785413/""}, {""title"": ""Essential oils, their therapeutic properties, and implication in ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606594/""}]",
"Abies mayriana (Finland) - Abies mayriana Miy. et Kudo Needle, fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies holophylla Leaf Essential Oil Alleviates Allergic Rhinitis Based ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Volatile Compounds in Norway Spruce (Picea abies) Significantly Vary ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9824094/""}, {""title"": ""The Role of Essential Oils and Their Main Compounds in the Management ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8227493/""}, {""title"": ""Original Contributions to the Chemical Composition, Microbicidal ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8617773/""}]",
"Abies nephrolepsis (China) - Abies nephrolepsis (Trautr.) Maxim., fam. Pinaceae","[{""title"": ""Cytostatic effects of plant essential oils on human skin and lung cells"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7027107/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}, {""title"": ""Commercial Essential Oils as Potential Antimicrobials to Treat Skin ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435909/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Biochemical Content of Cambium of Abies nephrolepis Eaten by Bears on ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5424178/""}]",
"Abies nordmannia conifer - Abies nordmannia (Steven) Spach, fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Volatile Compounds in Norway Spruce (Picea abies) Significantly Vary ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9824094/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Efficacy of Essential Oils in Pain: A Systematic Review and Meta ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7957371/""}, {""title"": ""Abies holophylla Leaf Essential Oil Alleviates Allergic Rhinitis Based ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Essential Oils and Neuropathic Pain - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323890/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""Yields and Constituents of Essential Oil from Cones of"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6257682/""}]",
"Abies sachalinensis (Finland) - Abies sachalinensis (Fr. Schm.) Mast, fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""A Systematic Review of the Anxiolytic-Like Effects of Essential Oils in ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332383/""}, {""title"": ""Aromas Influencing the GABAergic System - PMC - National Center for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9026314/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Antifungal Properties of Essential Oils and Their Compounds for ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922942/""}, {""title"": ""Resolving the smell of wood - identification of odour-active compounds ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5974339/""}, {""title"": ""Modeling intraspecific adaptation of Abies sachalinensis to local ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3353353/""}, {""title"": ""Volatile Compounds in Norway Spruce (Picea abies) Significantly Vary ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9824094/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Essential oils in the treatment of respiratory tract diseases ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163989/""}]",
"Abies semenovii - Abies semenovii L., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Use of Essential Oils in Veterinary Medicine to Combat Bacterial and ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7712454/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Identification of Essential Oils with Strong Activity against ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""Efficacy of Essential Oils in Pain: A Systematic Review and Meta ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7957371/""}, {""title"": ""Biological Activities of Essential Oils: From Plant Chemoecology to ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6155610/""}, {""title"": ""Screening essential oils for their antimicrobial activities against the ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6551464/""}]",
"Abies sibirica 1 - Abies sibirica Ledeb., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Effects of Abies sibirica terpenes on cancer- and aging-associated ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5347801/""}, {""title"": ""Abies Concolor Seeds and Cones as New Source of Essential Oils ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6150228/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Changes in Human Electroencephalographic Activity in Response to"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9311756/""}, {""title"": ""Vaccine adjuvant activity of emulsified oils from species of the ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6790179/""}, {""title"": ""Identification of Abies sibirica L. Polyprenols and Characterisation of ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7221546/""}, {""title"": ""Influence of Fragrances on Human Psychophysiological Activity: With ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5198031/""}, {""title"": ""Occurrence and pathogenicity of Corinectria spp. \u2013 an emerging canker ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7101354/""}, {""title"": ""Effect of Eucalyptus Oil Inhalation on Pain and Inflammatory Responses ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3703330/""}]",
"Abies sibirica 2 - Abies sibirica Ledeb., fam. Pinaceae","[{""title"": ""Download .nbib"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6316231/""}, {""title"": ""General Toxicity and Antifungal Activity of a New Dental Gel with ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295177/""}, {""title"": ""Influence of Binasal and Uninasal Inhalations of Essential Oil of Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5155078/""}, {""title"": ""Effects of Abies sibirica terpenes on cancer- and aging-associated ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5347801/""}, {""title"": ""Identification of Abies sibirica L. Polyprenols and Characterisation of ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7221546/""}, {""title"": ""Radical Scavenging Activity of the Essential Oil of Silver Fir (Abies ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2675024/""}, {""title"": ""Abies holophylla Leaf Essential Oil Alleviates Allergic Rhinitis Based ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10146622/""}, {""title"": ""Changes in Human Electroencephalographic Activity in Response to"", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9311756/""}, {""title"": ""Stress amelioration and anti-inflammatory potential of Shiikuwasha ..."", ""link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9635919/""}]",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
