Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Osmanthus concrete 1 (China) - Osmanthus fragrans, variety Thunbergii (Mak.), fam. Oleaceae","Osmanthus concrete 2 (China) - Osmanthus fragrans, variety Latifolius Mak., fam. Oleaceae",0.9059762135229834,(E)-beta-Ionone,0.18,trans-Linalool oxide (5) (furanoid),0.06,dihydro-beta-Ionol,0.06,p-Methoxyphenylethanol,0.04,Hexadecanoic acid,0.04
"Osmanthus concrete 2 (China) - Osmanthus fragrans, variety Latifolius Mak., fam. Oleaceae","Osmanthus concrete 1 (China) - Osmanthus fragrans, variety Thunbergii (Mak.), fam. Oleaceae",0.9059762135229834,(E)-beta-Ionone,0.09,trans-Linalool oxide (5) (furanoid),0.08,(E)-alpha-Ionone,0.06,Dibutyl phthalate,0.04,dihydro-beta-Ionol,0.04
"Osmanthus concrete 3 (China) - Osmanthus fragrans, variety Aurantiacus (Mak.), fam. Oleaceae","Lippia scaberrima (South Africa) 1b - Lippia scaberrima Sond., fam. Verbenaceae (local: Beukesbossie)",0.900589363845514,(E)-beta-Ionone,0.09,gamma-Decalactone,0.04,dihydro-beta-Ionol,0.04,Hexadecanoic acid,0.04,trans-Linalool oxide (5) (furanoid),0.03
"Parsley 1a herb - Petroselinum crispum (Miller) A.W. Hill (P. sativum Hoffm.), fam. Apiaceae","Parsley 1b leaf - Petroselinum crispum (Miller) A.W. Hill (P. sativum Hoffm.), fam. Apiaceae",0.9574026943563358,"Allyl-2,3,4,5-tetramethoxybenzene",0.26,Limonene,0.06,Myrcene,0.06,alpha-Pinene,0.06,Myristicin,0.05
"Parsley 1b leaf - Petroselinum crispum (Miller) A.W. Hill (P. sativum Hoffm.), fam. Apiaceae","Parsley 1a herb - Petroselinum crispum (Miller) A.W. Hill (P. sativum Hoffm.), fam. Apiaceae",0.9574026943563358,"Allyl-2,3,4,5-tetramethoxybenzene",0.3,Limonene,0.06,Myrcene,0.06,alpha-Pinene,0.05,beta-Pinene,0.03
"Pelargonium reniforme - Pelargonium reniforme Curt., fam. Geraniaceae","Agarwood 1 - Aquilaria agallocha Roxb., fam. Thymelaeaceae",0.9124447271828506,delta-Selinene,0.04,delta-Cadinene,0.04,Caryophyllene oxide,0.04,1-epi-Cubenol,0.03,Spathulenol,0.02
"Pteronia incana 2 - Pteronia incana, fam. Asteraceae (Compositae)","Agarwood 1 - Aquilaria agallocha Roxb., fam. Thymelaeaceae",0.9050862375626116,Methyl eugenol,0.07,Terpinen-4-ol,0.05,beta-Caryophyllene,0.03,delta-Cadinene,0.02,ar-Curcumene,0.02
"Sage, spanish 2 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Lippia scaberrima (South Africa) 1b - Lippia scaberrima Sond., fam. Verbenaceae (local: Beukesbossie)",0.9002691961765572,Abietane derivatives,0.08,Tritriacontane,0.05,Alkanes,0.05,Viridiflorol,0.03,Camphor,0.03
"Salvia desoleana (Italy) 1a CO2-extract - Salvia desoleana, fam. Lamiaceae (Labiatae)","Salvia desoleana (Italy) 1b hydrodistilled - Salvia desoleana, fam. Lamiaceae (Labiatae)",0.9127078308716584,Valencene,0.43,Laurenene,0.05,alpha-Terpinyl acetate,0.04,alpha-Cubebene,0.04,beta-Gurjunene,0.04
"Salvia desoleana (Italy) 1b hydrodistilled - Salvia desoleana, fam. Lamiaceae (Labiatae)","Salvia desoleana (Italy) 1a CO2-extract - Salvia desoleana, fam. Lamiaceae (Labiatae)",0.9127078308716584,Valencene,0.33,delta-Cadinene,0.06,alpha-Terpinyl acetate,0.05,Laurenene,0.04,alpha-Cubebene,0.04
"Sandalwood, indian (China) 1 - Santalum album L., fam. Santalaceae","Sandalwood, indian (India) 1 - Santalum album L., fam. Santalaceae",0.9232543397827294,cis-alpha-Santalol,0.5,cis-beta-Santalol,0.18,Bisabolenols (unknown isomers),0.05,epi-beta-Santalol,0.04,beta-Santalal,0.03
"Sandalwood, indian (India) 1 - Santalum album L., fam. Santalaceae","Sandalwood, indian (China) 1 - Santalum album L., fam. Santalaceae",0.9232543397827294,cis-alpha-Santalol,0.46,cis-beta-Santalol,0.2,Monocyclic sesquiterpene alcohols,0.05,,0.0,,0.0
"Sandalwood, indian (India) 2 - Santalum album L., fam. Santalaceae","Sandalwood, indian (China) 1 - Santalum album L., fam. Santalaceae",0.9355374209198848,cis-alpha-Santalol,0.5,cis-beta-Santalol,0.21,epi-beta-Santalol,0.04,(Z)-trans-alpha-Bergamotol,0.04,alpha-Santalal,0.03
"Sandalwood, indian (India) 3 - Santalum album L., fam. Santalaceae","Sandalwood, indian (China) 1 - Santalum album L., fam. Santalaceae",0.9453890511974828,cis-alpha-Santalol,0.48,cis-beta-Santalol,0.25,(Z)-Nuciferol,0.05,epi-beta-Santalol,0.04,Bisabolenols (unknown isomers),0.04
"Santolina pectina - Santolina pectina Lag., fam. Asteraceae (Compositae)","Santolina semidentata - Santolina semidentata Hoffmanns. & Link, fam. Asteraceae (Compositae)",0.9030097513667804,beta-Eudesmol,0.12,alpha-Cadinol,0.09,delta-Cadinol,0.07,gamma-Eudesmol,0.05,beta-Elemol,0.04
"Santolina semidentata - Santolina semidentata Hoffmanns. & Link, fam. Asteraceae (Compositae)","Lavandula luisieri (Chemotype B) - Lavandula luisieri L., Chemotype B, fam. Lamiaceae (Labiatae)",0.90366267058103,beta-Eudesmol,0.06,alpha-Cadinol,0.05,alpha-Pinene,0.03,Isolongifolene oxide,0.03,(Z)-Nerolidol,0.02
"Solanum incisum flower - Solanum incisum Griseb., fam. Solanaceae","Solanum stuckertii flower - Solanum stuckertii Bitter, fam. Solanaceae",0.9012836969798016,beta-Pinene,0.1,Limonene,0.06,"1,8-Cineole",0.05,Myrcene,0.05,1-Hexanol,0.04
"Solanum stuckertii flower - Solanum stuckertii Bitter, fam. Solanaceae","Solanum incisum flower - Solanum incisum Griseb., fam. Solanaceae",0.9012836969798016,Myrcene,0.08,Aromadendrene,0.05,beta-Pinene,0.05,Germacrene D,0.05,para-Cymene,0.05
"Treemoss concrete - Evernia ssp., fam. Usneaceae","Agarwood 1 - Aquilaria agallocha Roxb., fam. Thymelaeaceae",0.9163945155191684,Methyl beta-orcinolcarboxylate,0.09,Ethyl hematommate,0.02,Ethyl chlorohematommate,0.01,Chloroatranorin,0.0,Atranorin,0.0
"Turmeric (Bhutan) 1a rhizome - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Vietnam) 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.910692698120949,alpha-Turmerone,0.3,ar-Turmerone,0.17,beta-Turmerone,0.15,"1,8-Cineole",0.08,Zingiberene,0.04
"Turmeric (Vietnam) 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Bhutan) 1a rhizome - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.910692698120949,alpha-Turmerone,0.3,ar-Turmerone,0.1,beta-Turmerone,0.1,beta-Sesquiphellandrene,0.03,Zingiberene,0.02
"Valerian, Flower - Valeriana officinalis L., fam. Valerianaceae","Valerian, Picked Flowers - Valeriana officinalis L., fam. Valerianaceae",0.9047359865305304,Lavandulyl isovalerate,0.15,"(E,E)-alpha-Farnesene",0.08,"1,2-Dimethoxy-4-methylbenzene",0.05,(Z)-3-Hexenyl acetate,0.05,p-Cresyl methyl ether,0.04
"Valerian, Picked Flowers - Valeriana officinalis L., fam. Valerianaceae","Valerian, Flower - Valeriana officinalis L., fam. Valerianaceae",0.9047359865305304,Lavandulyl isovalerate,0.24,p-Cresyl methyl ether,0.08,"1,2-Dimethoxy-4-methylbenzene",0.04,"(E,E)-alpha-Farnesene",0.02,Lavandulyl 2-methylbutyrate,0.02
"Wormwood (Mugwort) 1 - Artemisia absinthium L., fam. Asteraceae (Compositae)","Wormwood (Mugwort), headspace - Artemisia absinthium L., fam. Asteraceae (Compositae)",0.9043982239262208,cis-Epoxycymene,0.17,Linalool,0.06,trans-Chrysanthenyl acetate,0.04,Neryl/geranyl 2-methylbutyrate,0.03,Geraniol,0.03
"Wormwood (Mugwort), headspace - Artemisia absinthium L., fam. Asteraceae (Compositae)","Wormwood (Mugwort) 1 - Artemisia absinthium L., fam. Asteraceae (Compositae)",0.9043982239262208,Linalool,0.11,cis-Epoxycymene,0.1,Terpinen-4-ol,0.06,alpha-Pinene,0.03,beta-Pinene,0.03
"Zingiber cassumunar root (Indonesia) 1 - Zingiber cassumunar Roxb., fam. Zingiberaceae","Zingiber cassumunar root (Indonesia) 2 - Zingiber cassumunar Roxb., fam. Zingiberaceae",0.9142780927244396,Terpinen-4-ol,0.1,Sabinene,0.1,"trans-1-(3,4-Dimethoxyphenyl)butadiene",0.1,"trans-1-(3,4-Dimethoxyphenyl)but-1-ene",0.07,Sesquiphellandrene,0.07
"Zingiber cassumunar root (Indonesia) 2 - Zingiber cassumunar Roxb., fam. Zingiberaceae","Zingiber cassumunar root (Indonesia) 1 - Zingiber cassumunar Roxb., fam. Zingiberaceae",0.9142780927244396,"trans-1-(3,4-Dimethoxyphenyl)butadiene",0.09,Sabinene,0.08,Terpinen-4-ol,0.08,"trans-4-(3,4-Dimethoxyphenyl)but-3-en-1-yl acetate",0.08,Sesquiphellandrene,0.06
